<name3> = <val6>	<name3> に <val6> を入れる
( <name1> + <name2> - 1 ) // <name2>	<name2> で <name1> を割った値を切り上げる
( <name4> + <name1> - 1 ) // <name1>	割った値を <name4> を <name1> で切り上げる
( <name1> + <name2> - 1 ) // <name2>	割った値を <name1> を <name2> で切り上げる
<name4> &  <name6>	<name4> と <name6> の論理積
<name1> &  <name2>	<name1> と <name2> の論理積
<name5> &  <name4>	<name5> と <name4> の論理積を求める
<name1> &  <name2>	<name1> と <name2> の論理積を求める
<name4> |  <name6>	<name4> と <name6> の論理和
<name1> |  <name2>	<name1> と <name2> の論理和
<name6> |  <name1>	<name6> と <name1> の論理和を算出する
<name1> |  <name2>	<name1> と <name2> の論理和を算出する
x ^  <name5>	a と <name5> の排他的論理和
x ^  <name1>	a と <name1> の排他的論理和
x ^  <name2>	a と <name2> の排他的論理和を算出する
x ^  <name1>	a と <name1> の排他的論理和を算出する
<name3> << <name4>	<name3> を <name4> だけシフトした左シフト値
<name1> << <name2>	<name1> を <name2> だけシフトした左シフト値
<name5> << <name1>	<name5> を <name1> だけシフトした左シフト値を算出する
<name1> << <name2>	<name1> を <name2> だけシフトした左シフト値を算出する
<name5> >> <name3>	<name5> を <name3> だけシフトした右シフト値
<name1> >> <name2>	<name1> を <name2> だけシフトした右シフト値
<name6> >> <name3>	<name6> を <name3> だけシフトした右シフト値を計算する
<name1> >> <name2>	<name1> を <name2> だけシフトした右シフト値を計算する
<name6> += <name4>	<name6> を <name4> だけ増加させる
<name1> += <name2>	<name1> を <name2> だけ増加させる
<name5> += <name4>	<name5> を <name4> だけ大きくする
<name1> += <name2>	<name1> を <name2> だけ大きくする
<name4> += <name2>	<name4> を <name2> だけ増やす
<name1> += <name2>	<name1> を <name2> だけ増やす
<name3> += <name4>	<name3> に <name4> を足して代入する
<name1> += <name2>	<name1> に <name2> を足して代入する
<name2> += <name3>	<name3> を <name2> に足して代入
<name1> += <name2>	<name2> を <name1> に足して代入
<name1> += <name4>	<name1> に <name4> を足して入れる
<name1> += <name2>	<name1> に <name2> を足して入れる
<name1> += <name5>	<name5> を <name1> に足して入れる
<name1> += <name2>	<name2> を <name1> に足して入れる
<name1> += <name4>	<name4> を <name1> に足して代入する
<name1> += <name2>	<name2> を <name1> に足して代入する
<name3> += <name2>	<name3> に <name2> を足して代入
<name1> += <name2>	<name1> に <name2> を足して代入
<name6> += <name5>	<name6> と <name5> の値を足して <name6> に代入する
<name1> += <name2>	<name1> と <name2> の値を足して <name1> に代入する
<name4> += <name5>	<name4> と <name5> の値を足して <name4> に代入
<name1> += <name2>	<name1> と <name2> の値を足して <name1> に代入
<name6> += <name2>	<name6> と <name2> の値を足して <name6> に入れる
<name1> += <name2>	<name1> と <name2> の値を足して <name1> に入れる
<name2> += <name3>	<name2> たす <name3> の値を <name2> に代入する
<name1> += <name2>	<name1> たす <name2> の値を <name1> に代入する
<name5> += <name6>	<name5> 足す <name6> の値を <name5> に入れる
<name1> += <name2>	<name1> 足す <name2> の値を <name1> に入れる
<name3> += <name1>	<name3> たす <name1> の値を <name3> に代入
<name1> += <name2>	<name1> たす <name2> の値を <name1> に代入
<name1> += <name5>	<name1> 足す <name5> の値を <name1> に代入
<name1> += <name2>	<name1> 足す <name2> の値を <name1> に代入
<name2> += <name6>	<name2> たす <name6> の値を <name2> に入れる
<name1> += <name2>	<name1> たす <name2> の値を <name1> に入れる
<name3> += <name2>	<name3> 足す <name2> の値を <name3> に代入する
<name1> += <name2>	<name1> 足す <name2> の値を <name1> に代入する
<name5> -= <name3>	<name5> を <name3> だけ減少させる
<name1> -= <name2>	<name1> を <name2> だけ減少させる
<name5> -= <name6>	<name5> を <name6> だけ減らす
<name1> -= <name2>	<name1> を <name2> だけ減らす
<name2> -= <name3>	<name2> を <name3> だけ小さくする
<name1> -= <name2>	<name1> を <name2> だけ小さくする
<name1> -= <name6>	<name1> から <name6> の値を引いて <name1> に代入する
<name1> -= <name2>	<name1> から <name2> の値を引いて <name1> に代入する
<name5> -= <name3>	<name5> から <name3> を引いて <name5> に代入する
<name1> -= <name2>	<name1> から <name2> を引いて <name1> に代入する
<name5> -= <name6>	<name5> から <name6> の値を引いて <name5> に入れる
<name1> -= <name2>	<name1> から <name2> の値を引いて <name1> に入れる
<name1> -= <name2>	<name1> から <name2> の値を引いて <name1> に代入
<name5> -= <name2>	<name5> から <name2> を引いて <name5> に入れる
<name1> -= <name2>	<name1> から <name2> を引いて <name1> に入れる
<name5> -= <name2>	<name5> から <name2> を引いて <name5> に代入
<name1> -= <name2>	<name1> から <name2> を引いて <name1> に代入
<name2> -= <name4>	<name2> ひく <name4> の値を <name2> に代入する
<name1> -= <name2>	<name1> ひく <name2> の値を <name1> に代入する
<name5> -= <name3>	<name5> 引く <name3> の値を <name5> に代入する
<name1> -= <name2>	<name1> 引く <name2> の値を <name1> に代入する
<name6> -= <name2>	<name6> ひく <name2> の値を <name6> に入れる
<name1> -= <name2>	<name1> ひく <name2> の値を <name1> に入れる
<name5> -= <name2>	<name5> ひく <name2> の値を <name5> に代入
<name1> -= <name2>	<name1> ひく <name2> の値を <name1> に代入
<name5> -= <name6>	<name5> 引く <name6> の値を <name5> に入れる
<name1> -= <name2>	<name1> 引く <name2> の値を <name1> に入れる
<name2> -= <name5>	<name2> 引く <name5> の値を <name2> に代入
<name1> -= <name2>	<name1> 引く <name2> の値を <name1> に代入
<name6> *= <name4>	<name6> を <name4> 倍にする
<name1> *= <name2>	<name1> を <name2> 倍にする
<name6> *= <name2>	<name2> 倍に <name6> をする
<name1> *= <name2>	<name2> 倍に <name1> をする
<name3> *= <name2>	<name3> に <name2> をかけた値を <name3> に代入する
<name1> *= <name2>	<name1> に <name2> をかけた値を <name1> に代入する
<name4> *= <name5>	<name4> に <name5> を <name4> にかけた値を入れる
<name1> *= <name2>	<name1> に <name2> を <name1> にかけた値を入れる
<name1> *= <name3>	<name1> に <name3> をかけた値を <name1> に代入
<name1> *= <name2>	<name1> に <name2> をかけた値を <name1> に代入
<name3> *= <name1>	<name3> に <name1> を <name3> にかけた値を代入する
<name1> *= <name2>	<name1> に <name2> を <name1> にかけた値を代入する
<name1> *= <name2>	<name2> を <name1> にかけた値を <name1> に代入
<name5> *= <name2>	<name5> に <name2> をかけた値を <name5> に入れる
<name1> *= <name2>	<name1> に <name2> をかけた値を <name1> に入れる
<name4> *= <name3>	<name4> に <name4> に <name3> をかけた値を代入
<name1> *= <name2>	<name1> に <name1> に <name2> をかけた値を代入
<name3> *= <name2>	<name3> に <name2> を <name3> にかけた値を代入
<name1> *= <name2>	<name1> に <name2> を <name1> にかけた値を代入
<name6> *= <name3>	<name3> を <name6> にかけた値を <name6> に入れる
<name1> *= <name2>	<name2> を <name1> にかけた値を <name1> に入れる
<name4> *= <name3>	<name4> に <name4> に <name3> をかけた値を入れる
<name1> *= <name2>	<name1> に <name1> に <name2> をかけた値を入れる
<name3> *= <name6>	<name6> を <name3> にかけた値を <name3> に代入する
<name1> *= <name2>	<name2> を <name1> にかけた値を <name1> に代入する
<name1> *= <name6>	<name1> に <name1> に <name6> をかけた値を代入する
<name1> *= <name2>	<name1> に <name1> に <name2> をかけた値を代入する
<name2> ** = <name5>	<name2> を <name5> 乗する
<name1> ** = <name2>	<name1> を <name2> 乗する
<name2> /= <name4>	<name2> を <name4> 分の一にする
<name1> /= <name2>	<name1> を <name2> 分の一にする
<name5> // = <name6>	<name5> を <name6> 分の一にする
<name1> // = <name2>	<name1> を <name2> 分の一にする
<name4> % = <name1>	<name4> を <name1> で割った余りを <name4> に代入する
<name1> % = <name2>	<name1> を <name2> で割った余りを <name1> に代入する
<name1> % = <name2>	<name1> を <name2> でわったあまりを <name1> に代入
<name1> % = <name5>	<name1> に <name1> を <name5> でわった余りを代入する
<name1> % = <name2>	<name1> に <name1> を <name2> でわった余りを代入する
<name1> % = <name3>	<name1> に <name1> を <name3> で割ったあまりを入れる
<name1> % = <name2>	<name1> に <name1> を <name2> で割ったあまりを入れる
<name3> % = <name4>	<name3> を <name4> でわった余りを <name3> に入れる
<name1> % = <name2>	<name1> を <name2> でわった余りを <name1> に入れる
<name5> % = <name3>	<name5> を <name3> で割ったあまりを <name5> に入れる
<name1> % = <name2>	<name1> を <name2> で割ったあまりを <name1> に入れる
<name1> % = <name6>	<name1> に <name1> を <name6> で割ったあまりを代入
<name1> % = <name2>	<name1> に <name1> を <name2> で割ったあまりを代入
<name1> % = <name6>	<name1> を <name6> でわった余りを <name1> に代入する
<name1> % = <name2>	<name1> を <name2> でわった余りを <name1> に代入する
<name6> % = <name2>	<name6> に <name6> を <name2> でわったあまりを代入
<name1> % = <name2>	<name1> に <name1> を <name2> でわったあまりを代入
<name2> % = <name5>	<name2> を <name5> で割ったあまりを <name2> に代入
<name1> % = <name2>	<name1> を <name2> で割ったあまりを <name1> に代入
<name3> % = <name4>	<name3> に <name3> を <name4> でわった余りを入れる
<name1> % = <name2>	<name1> に <name1> を <name2> でわった余りを入れる
<name2> % = <name6>	<name2> に <name2> を <name6> で割った余りを代入する
<name1> % = <name2>	<name1> に <name1> を <name2> で割った余りを代入する
abs ( <name4> )	<name4> の絶対値
abs ( <name1> )	<name1> の絶対値
abs ( <name3> )	<name3> の絶対値を計算する
abs ( <name1> )	<name1> の絶対値を計算する
complex ( <name1> )	<name1> の複素数
complex ( <name3> )	<name3> の複素数を計算する
complex ( <name1> )	<name1> の複素数を計算する
complex ( <name5> , <name2> )	<name5> を実部 <name2> を虚部とした複素数
complex ( <name1> , <name2> )	<name1> を実部 <name2> を虚部とした複素数
complex ( <name4> , <name1> )	実部 <name1> を <name4> を虚部とした複素数
complex ( <name1> , <name2> )	実部 <name2> を <name1> を虚部とした複素数
complex ( <name1> , <name4> )	<name1> を実部 <name4> を虚部とした複素数を求める
complex ( <name1> , <name2> )	<name1> を実部 <name2> を虚部とした複素数を求める
complex ( <name2> , <name6> )	実部 <name6> を <name2> を虚部とした複素数を計算する
complex ( <name1> , <name2> )	実部 <name2> を <name1> を虚部とした複素数を計算する
divmod ( <name2> , <name3> )	<name2> を <name3> で割ったときの商と余りの組
divmod ( <name1> , <name2> )	<name1> を <name2> で割ったときの商と余りの組
divmod ( <name6> , <name5> )	<name6> を <name5> でわったときの商とあまりの組
divmod ( <name1> , <name2> )	<name1> を <name2> でわったときの商とあまりの組
divmod ( <name4> , <name1> )	<name4> を <name1> で割ったときの商と剰余の組
divmod ( <name1> , <name2> )	<name1> を <name2> で割ったときの商と剰余の組
divmod ( <name4> , <name1> )	<name4> を <name1> でわったときの商と余りの組
divmod ( <name1> , <name2> )	<name1> を <name2> でわったときの商と余りの組
divmod ( <name6> , <name1> )	<name6> を <name1> で割ったときの商とあまりの組
divmod ( <name1> , <name2> )	<name1> を <name2> で割ったときの商とあまりの組
divmod ( <name1> , <name4> )	<name1> を <name4> でわったときの商と剰余の組
divmod ( <name1> , <name2> )	<name1> を <name2> でわったときの商と剰余の組
divmod ( <name3> , <name1> )	<name3> を <name1> で割ったときの商と剰余の組を求める
divmod ( <name1> , <name2> )	<name1> を <name2> で割ったときの商と剰余の組を求める
divmod ( <name1> , <name4> )	<name1> を <name4> でわったときの商と剰余の組を算出する
divmod ( <name1> , <name2> )	<name1> を <name2> でわったときの商と剰余の組を算出する
divmod ( <name1> , <name4> )	<name1> を <name4> でわったときの商とあまりの組を算出する
divmod ( <name1> , <name2> )	<name1> を <name2> でわったときの商とあまりの組を算出する
divmod ( <name6> , <name5> )	<name6> を <name5> で割ったときの商と余りの組を求める
divmod ( <name1> , <name2> )	<name1> を <name2> で割ったときの商と余りの組を求める
divmod ( <name4> , <name1> )	<name4> を <name1> で割ったときの商とあまりの組を計算する
divmod ( <name1> , <name2> )	<name1> を <name2> で割ったときの商とあまりの組を計算する
divmod ( <name3> , <name5> )	<name3> を <name5> でわったときの商と余りの組を求める
divmod ( <name1> , <name2> )	<name1> を <name2> でわったときの商と余りの組を求める
divmod ( <name4> , <name6> )	<name4> と <name6> の商と剰余の組
divmod ( <name1> , <name2> )	<name1> と <name2> の商と剰余の組
divmod ( <name5> , <name3> )	<name5> と <name3> の商と余りの組
divmod ( <name1> , <name2> )	<name1> と <name2> の商と余りの組
divmod ( <name3> , <name1> )	<name3> と <name1> の商と剰余の組を計算する
divmod ( <name1> , <name2> )	<name1> と <name2> の商と剰余の組を計算する
divmod ( <name3> , <name5> )	<name3> と <name5> の商と余りの組を求める
divmod ( <name1> , <name2> )	<name1> と <name2> の商と余りの組を求める
hash ( <name1> )	<name1> のハッシュ値
hash ( <name1> )	<name1> のハッシュ値を計算する
pow ( <name3> , <name4> )	<name3> の <name4> 乗
pow ( <name1> , <name2> )	<name1> の <name2> 乗
pow ( <name4> , <name5> )	<name4> の <name5> 乗を求める
pow ( <name1> , <name2> )	<name1> の <name2> 乗を求める
pow ( <name5> , <name3> , <name2> )	<name5> の <name3> 乗に対する <name2> の剰余
pow ( <name1> , <name2> , <name3> )	<name1> の <name2> 乗に対する <name3> の剰余
pow ( <name1> , <name6> , <name2> )	<name1> の <name6> 乗に対する <name2> の余り
pow ( <name1> , <name2> , <name3> )	<name1> の <name2> 乗に対する <name3> の余り
pow ( <name4> , <name2> , <name6> )	<name4> の <name2> 乗に対する <name6> の剰余を求める
pow ( <name1> , <name2> , <name3> )	<name1> の <name2> 乗に対する <name3> の剰余を求める
pow ( <name5> , <name3> , <name6> )	<name5> の <name3> 乗に対する <name6> の余りを計算する
pow ( <name1> , <name2> , <name3> )	<name1> の <name2> 乗に対する <name3> の余りを計算する
pow ( <name2> , <name6> , <name1> )	<name2> の <name6> 乗を <name1> で割った余り
pow ( <name1> , <name2> , <name3> )	<name1> の <name2> 乗を <name3> で割った余り
pow ( <name5> , <name1> , <name4> )	<name5> の <name1> 乗を <name4> でわった余り
pow ( <name1> , <name2> , <name3> )	<name1> の <name2> 乗を <name3> でわった余り
pow ( <name2> , <name5> , <name1> )	<name2> の <name5> 乗を <name1> でわったあまり
pow ( <name1> , <name2> , <name3> )	<name1> の <name2> 乗を <name3> でわったあまり
pow ( <name2> , <name1> , <name4> )	<name2> の <name1> 乗を <name4> で割ったあまり
pow ( <name1> , <name2> , <name3> )	<name1> の <name2> 乗を <name3> で割ったあまり
pow ( <name4> , <name3> , <name6> )	<name4> の <name3> 乗を <name6> で割った余りを算出する
pow ( <name1> , <name2> , <name3> )	<name1> の <name2> 乗を <name3> で割った余りを算出する
pow ( <name6> , <name4> , <name2> )	<name6> の <name4> 乗を <name2> で割ったあまりを計算する
pow ( <name1> , <name2> , <name3> )	<name1> の <name2> 乗を <name3> で割ったあまりを計算する
pow ( <name5> , <name4> , <name2> )	<name5> の <name4> 乗を <name2> でわった余りを算出する
pow ( <name1> , <name2> , <name3> )	<name1> の <name2> 乗を <name3> でわった余りを算出する
pow ( <name3> , <name6> , <name5> )	<name3> の <name6> 乗を <name5> でわったあまりを計算する
pow ( <name1> , <name2> , <name3> )	<name1> の <name2> 乗を <name3> でわったあまりを計算する
round ( <name2> )	<name2> の小数点を丸めた値
round ( <name1> )	<name1> の小数点を丸めた値
round ( <name2> )	<name2> の小数点を丸めた値を求める
round ( <name1> )	<name1> の小数点を丸めた値を求める
round ( <name3> )	<name3> の整数値
round ( <name1> )	<name1> の整数値
round ( <name4> )	<name4> の整数値を求める
round ( <name1> )	<name1> の整数値を求める
round ( <name2> , 1 )	<name2> を小数点第一位までに丸めた値
round ( <name1> , 1 )	<name1> を小数点第一位までに丸めた値
round ( <name5> , 1 )	小数点第一位までに <name5> を丸めた値
round ( <name1> , 1 )	小数点第一位までに <name1> を丸めた値
round ( <name6> , 1 )	<name6> を小数点第一位までに丸めた値を算出する
