<B> 内の <D> 番目から <E> 番目に <C> がある位置を <A> とする	<A> = <B> . find ( <C> , <D> , <E> )	<A> = <B> . find ( <C> , <D> )
<B> を正規表現 <A> のパターンにマッチした箇所で分割した文字列リスト	re . split ( <A> , <B> )	if <A> . re ( <B> ) :
区切りなしで <A> をプリントする	print ( <A> , sep = '' )	datetime . print ( <A> , sep = ',' )
e の <A> 乗	math . exp ( <A> )	pow ( <A> )
deque オブジェクトを作る	collections . deque ( )	collections . deque ( <A> )
<B> の終わりから <C> を取り除いた文字を <A> にする	<A> = <B> . rstrip ( <C> )	pow ( <A> , <B> )
<B> の英大文字と英小文字を交換した文字列を <A> に代入する	<A> = <B> . strswap ( )	<A> . lower ( <B> )
<A> 内の <B> が存在する先頭のインデックスを取得する	<A> . index ( <B> )	all <A> , <B> )
文字列を入力した結果を <A> にする	<A> = input ( )	int ( <A> , input ( ) )
<C> を区切り文字、最大分割数を <D> として <B> を分割した結果をリスト型にして返し、 <A> にする	<A> = <B> . split ( <C> , <D> )	<A> = <B> . split ( <C> )
<A> の文字コード	ord ( <A> )	print ( <A> )
<A> から <B> までの数列	range ( <A> , <B> + <A> )	<A> . range ( <B> )
0 以上 <A> 未満の範囲の数列	range ( <A> )	random . randrange ( <A> )
<B> の双曲線余弦を <A> にする	<A> = math . cosh ( <B> )	complex ( <A> , math . <A> )
<B> の正弦を <A> に代入する	<A> = math . sin ( <B> )	<A> = math . asin ( <B> )
<A> と <B> と <C> を連結したファイルパス	os . path . join ( <A> , <B> , <C> )	<A> = math . gcd ( <B> , <C> )
<A> を <B> で割った結果の切り上げ	( <A> + <B> - 1 ) // <B>	complex <A> ( <A> , <B> )
<B> のアークコサインを <A> にする	<A> = math . acos ( <B> )	math . <A> ( <B> )
<A> を整数型にする	int ( <A> )	list ( <A> )
<A> ではなくない	not not <A>	maxlen <A>
<A> の一番小さい値をチェックする	min ( <A> )	round ( <A> )
<A> が <B> より小さくない間	while not <A> < <B> :	while not <A> > <B> :
<B> の正接を <A> に代入する	<A> = math . tan ( <B> )	math . <A> ( <A> = <B> )
<A> を実部 <B> を虚部とした複素数を求める	complex ( <A> , <B> )	int ( <A> , <B> )
<A> の 16 進数表現	hex ( <A> )	print ( <A> , sep )
<A> から <B> を取り除く	<A> . remove ( <B> )	reversed <A> . <A> ( <B> )
そうでなくて <A> が <B> ならば	elif <A> == <B> :	all ( <A> , <B> ) :
ユーザが入力した整数値をスペースで区切ってリストとして受け取る	list ( map ( int , input ( ) . split ( ) ) )	<A> = list ( input ( ) )
<A> のアークタンジェント	math . atan ( <A> )	math . acos ( <A> )
<A> からランダムに要素をチョイスする	random . choice ( <A> )	sorted <A> ( )
数値データを入力した結果を <A> とする	<A> = int ( input ( ) )	int ( <A> , input ( ) )
<A> を変換した文字列	str ( <A> )	print ( <A> )
<B> の逆双曲線余弦を <A> にする	<A> = math . acosh ( <B> )	math . <A> ( <B> )
<A> を絶対値に直してソートする	sorted ( <A> , key = abs )	reversed ( <A> , key = abs )
<A> を <B> だけシフトした右シフト値を算出する	<A> >> <B>	<< <A> >> <B>
<A> の <B> 番目から <C> 番目の要素を得る	<A> [ <B> : <C> ]	re . <A> ( <A> , <B> )
<A> 内の全ての要素が真かどうか	all ( <A> )	<A> . isdigit ( )
円周率	math . pi	list ( <A> )
0 以上 <A> 未満の範囲で 1 ずつ増える数列	range ( <A> )	os . range ( <A> )
<A> と <B> の対称差を計算する	<A> . symmetric_difference ( <B> )	bisect . <A> ( <A> , <B> )
<A> の合計	sum ( <A> )	print ( <A> )
<C> を区切り文字、最大分割数を <D> として <B> を最後から分割してリスト型にして返して、 <A> に代入する	<A> = <B> . rsplit ( <C> , <D> )	<A> = <B> . split ( <C> )
<A> が識別子として利用可能かどうか	<A> . isidentifier ( )	<A> . isascii ( )
<A> と <B> の値を足して <A> に代入する	<A> += <B>	divmod ( <A> , <B> )
もし try の中のプログラムが実行できなかった時	except :	except <A> : ]
<A> が <B> 以上かどうか	<A> >= <B>	while <A> >= <B> :
0 から <A> 未満までの整数乱数	random . randrange ( <A> )	<A> . randrange ( <B> )
<A> が <B> と等しい間	while <A> == <B> :	== <A> == <B> :
