<A> の <C> 番目が <B> で終わるかどうか	<A> . endswith ( <B> , <C> )	itertools . endswith ( <A> , <B> , <C> )
空白を区切り文字に指定して <B> を最後から分割してリスト型にして、 <A> に代入する	<A> = <B> . rsplit ( )	sorted ( <A> , <B> )
後ろから <C> で <B> 文字列を分割してリストを返して、 <A> に代入する	<A> = <B> . rsplit ( <C> )	reversed ( <A> , <B> , <C> )
<A> 、 <B> 、 <C> のうちもっとも小さい値	min ( <A> , <B> , <C> )	x . min ( <A> , <B> , <C> )
リスト <A> 内の値が少なくともひとつは真かどうか	any ( <A> )	random . any ( <A> )
ユーザが入力した数字を半角スペースで区切ってリストとして得、 <A> に代入する	<A> = list ( map ( int , input ( ) . split ( ) ) )	sorted ( <A> , key = map ( int , input ( ) . split ( ) )
<A> の中の大文字を小文字にする	<A> . lower ( )	( <A> . lower ( )
区切り文字に指定して <B> 文字列を <C> を最後から分割してリストにされた結果を <A> に代入する	<A> = <B> . rsplit ( <C> )	reversed ( <A> , <B> , <C> )
<C> を区切り文字、最大分割数を <D> に設定して文字列 <B> を最後から分割してリスト型にして返された結果を <A> にする	<A> = <B> . rsplit ( <C> , <D> )	sorted ( <A> , <B> , <C> , <D> )
リスト <B> を大きい方から順に直し、 <A> に代入する	<A> = <B> . reverse ( )	sorted ( <A> , reverse = True )
区切り文字に指定して <B> 文字列を <C> を終わりから分割してリストにされた結果を <A> とする	<A> = <B> . rsplit ( <C> )	reversed ( <A> , <B> , <C> )
<B> を逆順にした結果を <A> に代入する	<A> = <B> . reverse ( )	sorted ( <A> , reverse = <B> )
<B> を文字列型として得た結果を <A> とする	<A> = str ( <B> )	str ( <A> , <B> )
0 から <B> 未満までの整数乱数を <A> とする	<A> = random . randrange ( <B> )	randrange . randrange ( <A> , <B> )
<B> を英大文字に変換したデータを <A> に代入する	<A> = <B> . upper ( )	sorted ( <A> = <B> )
ランダムに <A> をシャッフル置き換える	random . shuffle ( <A> )	collections . shuffle ( <A> )
<C> を区切り文字、最大分割数を <D> に設定して文字列 <B> を最後から分割してリスト型にして返して、 <A> に代入する	<A> = <B> . rsplit ( <C> , <D> )	sorted ( <A> , <B> , <C> , <D> )
<C> を区切り文字、最大分割数を <D> に指定して <B> を終わりから分割してリストに置き換えて、 <A> とする	<A> = <B> . rsplit ( <C> , <D> )	sorted ( <A> , <B> , <C> , <D> )
表示しユーザに値を <A> というプロンプトを入力させる	x = input ( <A> )	input ( <A> )
半角スペースごとに入力された複数の整数をリストとして受け取る	list ( map ( int , input ( ) . split ( ) ) )	print ( map ( int , input ( ) . split ( ) ) )
半角スペースごとに入力された数値を受け取り <A> 、 <B> 、 <C> と置き換える	<A> , <B> , <C> = map ( int , input ( ) . split ( ) )	, <A> , <B> , <C> = map ( int , input ( ) . split ( ) )
入力された整数値を半角スペースで分割し <A> 、 <B> 、 <C> とする	<A> , <B> , <C> = map ( int , input ( ) . split ( ) )	sorted ( <A> , <B> , <C> )
<A> を <B> でわったあまりを <A> に入れる	<A> % = <B>	reversed ( <A> , = <B> )
文字列 <B> を末尾から <C> で分割してリストを返した結果を <A> にする	<A> = <B> . rsplit ( <C> )	reversed ( <A> , <B> , <C> )
区切り文字に指定して <B> を半角スペースを最後から分割してリスト型にした結果を <A> とする	<A> = <B> . rsplit ( )	sorted ( <A> , <B> )
<A> を大きい方から順に並べ直す	<A> . sort ( reverse = True )	reversed ( <A> , reverse = True )
<C> の要素を <A> 、 <D> の要素を <B> へ順番に代入して以降のプログラムをループする	for <A> , <B> in zip ( <C> , <D> ) :	for <A> in zip ( <B> , <C> , <D> ) :
文字列 <A> の中の <C> 番目から <D> 番目に <B> がある位置	<A> . find ( <B> , <C> , <D> )	<A> . rfind ( <B> , <C> , <D> )
長さが <B> になるように '0' で <A> を右寄せした値	<A> . zfill ( <B> )	not <A> . zfill ( <B> )
<C> を区切り文字、最大分割数を <D> に指定して <B> を最後から分割してリストに直された結果を <A> に代入する	<A> = <B> . rsplit ( <C> , <D> )	sorted ( <A> , <B> , <C> , <D> )
文字列 <B> の終わりから空白改行を除いた値を <A> とする	<A> = <B> . rstrip ( )	sorted ( <A> , <B> )
空白を区切り文字として <B> を最後から分割してリスト型にして返し、 <A> にする	<A> = <B> . rsplit ( )	print ( <A> = <B> )
<B> リストを逆順に置き換えて、 <A> にする	<A> = <B> . reverse ( )	sorted ( <A> , reverse = <B> )
スペースごとに入力された数値を受け取り <A> 、 <B> 、 <C> と置き換える	<A> , <B> , <C> = map ( int , input ( ) . split ( ) )	sorted ( <A> , <B> , <C> )
<B> 文字列の右側から空白改行を取り除いた文字列を <A> にする	<A> = <B> . rstrip ( )	sorted ( <A> , <B> )
<C> を区切り文字として文字列 <B> を末尾から分割してリストにして返した結果を <A> にする	<A> = <B> . rsplit ( <C> )	reversed ( <A> , <B> , <C> )
英大文字に <A> 値を変換したデータ	<A> . upper ( )	( <A> . upper ( )
<B> の最初を英大文字、残りを全て英小文字にした文字列を <A> にする	<A> = <B> . capitalize ( )	sorted ( <A> = <B> )
以降の処理を <A> 回ループ置き換える	for i in range ( <A> ) :	hex ( <A> )
集合 <A> から <B> を除去する	<A> . remove ( <B> )	. <A> . remove ( <B> )
<B> の終わりから空白改行を抜いたデータを <A> に代入する	<A> = <B> . rstrip ( )	reversed ( <A> , <B> )
繰り返しから強制的に抜ける	break	random . break ( <A> )
<A> 集合と <B> セットの差を得る	<A> . difference ( <B> )	reversed ( <A> . difference ( <B> )
文字列 <A> 内の <C> 番目から <D> 番目に <B> がある位置	<A> . find ( <B> , <C> , <D> )	sorted ( <A> , <B> , <C> , <D> )
<B> を <A> 集合に付加する	<A> . add ( <B> )	add ( <A> . add ( <B> )
<A> を <B> で剰余を計算する	<A> % <B>	math . remainder ( <A> , <B> )
空白を区切り文字として文字列 <B> を末尾から分割してリストにして返された結果を <A> に代入する	<A> = <B> . rsplit ( )	print ( <A> = <B> )
わった値を <A> を <B> で切り上げる	( <A> + <B> - 1 ) // <B>	range ( <A> , <B> - 1 ) // <B>
文字列 <B> の最初から空白改行を除いた値を <A> にする	<A> = <B> . lstrip ( )	sorted ( <A> , <B> )
数値に <A> を直す	int ( <A> )	reversed ( <A> )
<B> 文字列内の <D> 番目から <E> 番目に <C> がある位置を <A> に代入する	<A> = <B> . find ( <C> , <D> , <E> )	sorted ( <A> , <B> , <C> , <D> , <E> )
<B> と <C> の最小公倍数を <A> に代入する	<A> = math . lcm ( <B> , <C> )	round ( <A> , <B> , <C> )
半角スペースを区切り文字に指定して文字列 <B> を最後から分割してリストに直された結果を <A> にする	<A> = <B> . rsplit ( )	sorted ( <A> , <B> )
<B> で <A> の最初を拡張する	<A> . appendleft ( <B> )	re . appendleft ( <A> , <B> )
<B> のコサインを <A> にする	<A> = math . cos ( <B> )	math . cos ( <A> , <B> )
<B> の英大小文字を逆にしたデータを <A> とする	<A> = <B> . strswap ( )	print ( <A> = <B> )
カンマ区切りで <A> を表示する	print ( <A> , sep = ',' )	datetime . print ( <A> , sep = ',' )
<B> を区切り文字に設定して <A> を分割した結果をリスト型にして返す	<A> . split ( <B> )	. <A> . split ( <B> )
<B> を最後からスペースで分割してリストを返して、 <A> にする	<A> = <B> . rsplit ( )	sorted ( <A> , <B> )
ユーザが入力した数値を空白で区切ってリストとして受け取る	list ( map ( int , input ( ) . split ( ) ) )	print ( map ( int , input ( ) . split ( ) ) )
<B> を終わりから半角スペースで分割してリストを返して、 <A> にする	<A> = <B> . rsplit ( )	sorted ( <A> , <B> )
<B> 文字列の <D> 番目から <C> を後ろから探して見つかった位置を <A> にする	<A> = <B> . rfind ( <C> , <D> )	= <A> . rfind ( <B> , <C> , <D> )
<C> を区切り文字、最大分割数を <D> に設定して文字列 <B> を最後から分割してリストにして返し、 <A> に代入する	<A> = <B> . rsplit ( <C> , <D> )	sorted ( <A> , <B> , <C> , <D> )
半角スペースごとに入力された複数の整数をリストとして受け取った結果を <A> に代入する	<A> = list ( map ( int , input ( ) . split ( ) ) )	sorted ( <A> , key = map ( int , input ( ) . split ( ) )
スペースを区切り文字として文字列 <B> を分割した結果をリスト型にして返して、 <A> にする	<A> = <B> . split ( )	sorted ( <A> , <B> )
<B> を浮動小数点数に直された結果を <A> にする	<A> = float ( <B> )	float ( <A> , <B> )
入力されたデータを空白で分割し <A> 、 <B> 、 <C> と置き換える	<A> , <B> , <C> = input ( ) . split ( )	sorted ( <A> , <B> , <C> )
<B> 文字列の終わりから <C> を除いた文字を <A> に代入する	<A> = <B> . rstrip ( <C> )	reversed ( <A> , <B> , <C> )
<B> を後ろから <C> で分割した文字列のリストを <A> に代入する	<A> = <B> . rsplit ( <C> )	print ( <A> , <B> , <C> )
区切り文字として文字列 <B> をスペースを最後から分割してリスト型にして返した結果を <A> にする	<A> = <B> . rsplit ( )	print ( <A> = <B> )
<C> を区切り文字、最大分割数を <D> に設定して <B> を末尾から分割してリスト型にして返した結果を <A> に代入する	<A> = <B> . rsplit ( <C> , <D> )	sorted ( <A> , <B> , <C> , <D> )
<A> 内の要素が少なくともひとつは真かどうか	any ( <A> )	random . any ( <A> )
ユーザから入力された値をリストにされた結果を <A> にする	<A> = list ( input ( ) )	print ( <A> , input ( ) )
<B> 身長と <A> 体重から BMI	<A> / ( <B> / 100 ) ** 2	/ ( <A> , <B> / 100 ) ** 2
スペースを区切り文字に指定して <B> を分割した結果をリスト型にした結果を <A> とする	<A> = <B> . split ( )	( <A> = <B> . split ( )
空白ごとに入力された複数の整数をリストとして受け取って、 <A> にする	<A> = list ( map ( int , input ( ) . split ( ) ) )	sorted ( <A> , key = map ( int , input ( ) . split ( ) )
<B> を <A> リストの最後に入れる	<A> . append ( <B> )	itertools . append ( <A> , <B> )
値 <B> の中の小文字を大文字に置き換えた結果を <A> とする	<A> = <B> . upper ( )	sorted ( <A> , <B> )
<B> 文字列を後ろから <C> で分割してリストを返された結果を <A> とする	<A> = <B> . rsplit ( <C> )	print ( <A> , <B> , <C> )
<A> セットと <B> 集合の共通部分	<A> . intersection ( <B> )	sorted ( <A> . intersection ( <B> )
<A> に <B> を <A> にかけた値を代入する	<A> *= <B>	str ( <A> , <B> )
<B> リスト内の値を連結した値を <A> とする	<A> = '' . join ( <B> )	'' . join ( <A> , <B> )
半角スペースを区切り文字に指定して文字列 <B> を最後から分割してリストに直して、 <A> に代入する	<A> = <B> . rsplit ( )	sorted ( <A> , <B> )
区切り文字に指定して <B> をスペースを最後から分割してリストにした結果を <A> に代入する	<A> = <B> . rsplit ( )	sorted ( <A> , <B> )
<A> からランダムに値を <B> つチョイス直す	random . sample ( <A> , <B> )	bisect . sample ( <A> , <B> )
空白を区切り文字に指定して <B> 文字列を分割した結果をリスト型に直し、 <A> に代入する	<A> = <B> . split ( )	sorted ( <A> , <B> )
末尾から <C> で <B> 文字列を分割した文字列のリストを <A> にする	<A> = <B> . rsplit ( <C> )	sorted ( <A> , <B> , <C> )
<B> をリストとして得、 <A> にする	<A> = list ( <B> )	print ( <A> , <B> )
<B> を整数型に変換して、 <A> とする	<A> = int ( <B> )	int ( <A> , <B> )
<B> を区切り文字、最大分割数を <C> に指定して文字列 <A> を分割した結果をリスト型に置き換える	<A> . split ( <B> , <C> )	. <A> . split ( <B> , <C> )
<A> の二乗を算出する	<A> ** 2	math . sin ( <A> )
入力された数値を半角スペースで区切ってリストとして得た結果を <A> にする	<A> = list ( map ( int , input ( ) . split ( ) ) )	list ( map ( int , input ( <A> ) . split ( ) ) )
<A> 集合が <B> 集合の上位集合かどうか	<A> . issuperset ( <B> )	. <A> . issuperset ( <B> )
<A> 集合に <B> を加える	<A> . add ( <B> )	add ( <A> . add ( <B> )
<B> を整数型に直して、 <A> に代入する	<A> = int ( <B> )	int ( <A> , <B> )
文字列 <A> を長さが <B> になるように左を '0' で埋めた値	<A> . zfill ( <B> )	. <A> . zfill ( <B> )
複数の入力値をリストとして受け取った結果を <A> に代入する	<A> = list ( input ( ) )	not <A> = list ( input ( ) )
入力された数値を半角スペースで区切ってリストとして受け取って、 <A> とする	<A> = list ( map ( int , input ( ) . split ( ) ) )	sorted ( <A> , key = map ( int , input ( ) . split ( ) )
<A> の末尾が <B> で終わるかどうか	<A> . endswith ( <B> )	random . endswith ( <A> , <B> )
文字列 <A> を <B> で最大分割数 <C> まで分割したデータのリスト	<A> . split ( <B> , <C> )	. <A> . split ( <B> , <C> )
<B> の先頭から空白改行を取り除いたデータを <A> に代入する	<A> = <B> . lstrip ( )	sorted ( <A> , <B> )
<B> を降順にソート置き換えた結果を <A> に代入する	<A> = <B> . sort ( reverse = True )	reversed ( <A> , reverse = True )
<A> を <B> で分割した文字列のリスト	<A> . split ( <B> )	. <A> . split ( <B> )
<C> を区切り文字、最大分割数を <D> として <B> を終わりから分割してリストにして返された結果を <A> とする	<A> = <B> . rsplit ( <C> , <D> )	sorted ( <A> , <B> , <C> , <D> )
<A> リストをランダムにシャッフルする	random . shuffle ( <A> )	itertools . shuffle ( <A> )
<A> を変換したデータ	str ( <A> )	os . str ( <A> )
<B> を空白で分割してリストを返した結果を <A> とする	<A> = <B> . split ( )	sorted ( <A> , <B> )
<A> と <B> の和を求める	<A> + <B>	reversed <A> + <B>
区切り文字として <B> 文字列を半角スペースを末尾から分割してリスト型にして返した結果を <A> に代入する	<A> = <B> . rsplit ( )	print ( <A> = <B> )
リトルエンディアンとして	byteorder = 'little'	byteorder = <B>
<B> を区切り文字に設定して <A> を分割した結果をリスト型に置き換える	<A> . split ( <B> )	. <A> . split ( <B> )
文字列 <B> を最後から半角スペースで分割してリストを返し、 <A> にする	<A> = <B> . rsplit ( )	sorted ( <A> , <B> )
<A> を降順に直す	reversed ( <A> )	( <A> . reverse ( )
<A> の一部分を取り出す	<A> [ start : end ]	<A> [ : end ]
<A> と <B> の商を計算する	<A> / <B>	not <A> <B>
命令を実行したエポックタイム	datetime . datetime . now ( )	math . datetime . now ( )
<A> 掛ける <B> を算出する	<A> * <B>	<A> - <B>
区切り文字に設定して文字列 <B> を <C> を最後から分割してリスト型に直された結果を <A> とする	<A> = <B> . rsplit ( <C> )	reversed ( <A> , <B> , <C> )
<A> の中の <C> 番目から <D> 番目に <B> がある右側の位置	<A> . rfind ( <B> , <C> , <D> )	re . rfind ( <A> , <B> , <C> , <D> )
<A> の <C> 番目から <D> 番目の間で <B> を探して見つかった位置	<A> . find ( <B> , <C> , <D> )	( <A> . rfind ( <B> , <C> , <D> )
存在する最初の場所を <A> リスト内の <B> が取得する	<A> . index ( <B> )	index ( <A> . index ( <B> )
<B> 文字列を終わりから <C> で最大分割数 <D> まで分割したデータのリストを <A> にする	<A> = <B> . rsplit ( <C> , <D> )	sorted ( <A> , <B> , <C> , <D> )
<A> をリスト型に直す	list ( <A> )	itertools . list ( <A> )
可能であれば以下の命令を処理する	try :	math . try ( <A> )
以下の処理を <A> の要素数分ループ直す	for i in range ( len ( <A> ) ) :	range ( len ( <A> ) )
文字列 <B> を末尾から <C> で分割したデータのリストを <A> に代入する	<A> = <B> . rsplit ( <C> )	reversed ( <A> , <B> , <C> )
文字列 <B> を英小文字に変換した値を <A> に代入する	<A> = <B> . lower ( )	reversed ( <A> , <B> )
<B> を整数に置き換え、 <A> とする	<A> = int ( <B> )	int ( <A> , <B> )
<A> が <B> で割った時の余りが <C> であるかどうか	<A> % <B> == <C>	sorted ( <A> , <B> , <C> )
無限にカウントアップする整数列	itertools . count ( )	math . count ( )
<A> というプロンプトを文字列を表示しユーザに入力させる	x = input ( <A> )	any ( <A> )
<B> を <A> に入れる	<A> . append ( <B> )	reversed ( <A> , <B> )
並び順をそのままで <B> を <A> に挿入できる場所	bisect . bisect_left ( <A> , <B> )	random . bisect_left ( <A> , <B> )
<A> の値を右にひとつローテート置き換える	<A> . rotate ( )	math . rotate ( <A> )
<C> を区切り文字、最大分割数を <D> に設定して <B> を末尾から分割してリストにして返された結果を <A> に代入する	<A> = <B> . rsplit ( <C> , <D> )	sorted ( <A> , <B> , <C> , <D> )
<B> の両端から空白改行を除いたデータを <A> に代入する	<A> = <B> . strip ( )	reversed ( <A> , <B> )
<A> リストのうち <B> 個までのコンビネーション	itertools . combinations ( <A> , <B> )	math . combinations ( <A> , <B> )
<A> 文字列の最後から <B> を抜いた文字	<A> . rstrip ( <B> )	itertools . rstrip ( <A> , <B> )
<A> を英小文字に変換した値	<A> . lower ( )	( <A> . lower ( )
ユーザが入力した整数値をスペースで区切ってリストとして受け取られた結果を <A> とする	<A> = list ( map ( int , input ( ) . split ( ) ) )	list ( map ( int , input ( <A> ) . split ( ) ) )
文字列 <B> を最後から空白で分割してリストを返して、 <A> に代入する	<A> = <B> . rsplit ( )	sorted ( <A> , <B> )
<B> のイミュータブルな集合を <A> にする	<A> = frozenset ( <B> )	pow ( <A> , <B> )
<A> 文字列を長さが <B> になるように '0' で左を埋めたデータ	<A> . zfill ( <B> )	not <A> . zfill ( <B> )
<A> 文字列の <C> 番目から <B> を逆順に探して見つかった位置	<A> . rfind ( <B> , <C> )	. <A> . rfind ( <B> , <C> )
<B> 文字列を末尾から空白で分割してリストを返した結果を <A> にする	<A> = <B> . rsplit ( )	sorted ( <A> , <B> )
<B> の先頭を英大文字、残りを全て英小文字にした値を <A> とする	<A> = <B> . capitalize ( )	sorted ( <A> = <B> )
<B> 文字列の左側から空白改行を抜いたデータを <A> に代入する	<A> = <B> . lstrip ( )	sorted ( <A> , <B> )
<C> を区切り文字に指定して <B> を最後から分割してリスト型にして、 <A> にする	<A> = <B> . rsplit ( <C> )	reversed ( <A> , <B> , <C> )
命令を実行した日	datetime . date . today ( ) . day	math . date . today ( )
<B> リストを逆順に並べ変えて、 <A> に代入する	<A> = <B> . sort ( reverse = True )	reversed ( <A> , reverse = <B> )
<B> の先頭から空白改行を除いた値を <A> に代入する	<A> = <B> . lstrip ( )	sorted ( <A> , <B> )
<A> が <B> よりも大きいかどうか	<A> > <B>	sorted ( <A> , <B> )
<A> 内の値の順番を逆転する	<A> [ : : -1 ]	<A> [ : : : -1 ]
<A> リストに含まれる全ての値が真かどうか	all ( <A> )	any ( <A> )
<C> を区切り文字、最大分割数を <D> に指定して文字列 <B> を終わりから分割してリスト型にされた結果を <A> に代入する	<A> = <B> . rsplit ( <C> , <D> )	sorted ( <A> , <B> , <C> , <D> )
文字列 <B> の中の大文字を小文字に置き換えられた結果を <A> にする	<A> = <B> . lower ( )	reversed ( <A> , <B> )
文字列 <A> の <C> 番目から <D> 番目の間で <B> を後ろから探して見つかった位置	<A> . rfind ( <B> , <C> , <D> )	re . rfind ( <A> , <B> , <C> , <D> )
<C> を区切り文字、最大分割数を <D> に指定して文字列 <B> を後ろから分割してリストに直し、 <A> にする	<A> = <B> . rsplit ( <C> , <D> )	sorted ( <A> , <B> , <C> , <D> )
<A> 集合と <B> 集合の差を計算する	<A> . difference ( <B> )	set ( <A> . difference ( <B> )
<A> に <B> を入れる	<A> = <B>	reversed ( <A> , <B> )
<A> の <B> 番目から末尾までの値を取り出す	<A> [ <B> : ]	del ( <A> [ <B> ] )
リスト <A> の合計を計算する	sum ( <A> )	os . sum ( <A> )
<C> を区切り文字に設定して文字列 <B> を最後から分割してリスト型にして返した結果を <A> にする	<A> = <B> . rsplit ( <C> )	print ( <A> , <B> rsplit <C> )
改行を表示する	print ( )	datetime . print ( )
<C> の中の正規表現 <A> のパターンにマッチした箇所を <B> に置き換えたデータと置き換え箇所の個数	re . subn ( <A> , <B> , <C> )	re . sub ( <A> , <B> , <C> )
<B> 文字列の先頭を英大文字、残りを全て英小文字に変換したデータを <A> とする	<A> = <B> . capitalize ( )	sorted ( <A> = <B> )
<B> をリストに変換した結果を <A> とする	<A> = list ( <B> )	not <A> + <B>
ユーザが入力した浮動小数点数を <A> と置き換える	<A> = float ( input ( ) )	float ( <A> , input ( ) )
<B> をリスト型にした結果を <A> にする	<A> = list ( <B> )	print ( <A> , <B> )
<A> からランダムに要素を選択する	random . choice ( <A> )	collections . choice ( <A> )
もし何らかの例外が発生した時	except :	if <A> . except ( ) :
<A> 内の <C> 番目以降に <B> がある後ろ側の位置	<A> . rfind ( <B> , <C> )	re . rfind ( <A> , <B> , <C> )
プログラムの実行を終了する	quit ( )	sys . quit ( )
空白を区切り文字に設定して文字列 <B> を分割した結果をリスト型に直して、 <A> にする	<A> = <B> . split ( )	sorted ( <A> , <B> )
<B> 文字列を最後から <C> で分割したデータのリストを <A> に代入する	<A> = <B> . rsplit ( <C> )	reversed ( <A> , <B> , <C> )
<A> の出現回数順の列	<A> . most_common ( )	reversed ( <A> )
数値に <A> をする	int ( <A> )	print ( <A> )
<A> リストの <B> 番目に <C> を加える	<A> . insert ( <B> , <C> )	re . insert ( <A> , <B> , <C> )
半角スペースを区切り文字に指定して <B> 文字列を分割した結果をリストにして、 <A> とする	<A> = <B> . split ( )	sorted ( <A> , <B> )
値 <B> 内の小文字を大文字に変換した結果を <A> にする	<A> = <B> . upper ( )	( <A> = <B> . upper ( )
もし <B> より <A> が小さい場合	if <A> < <B> :	for <A> in range ( <B> ) :
リスト <B> を昇順にソート置き換えられた結果を <A> にする	<A> = <B> . sort ( )	sorted ( <A> , <B> )
リスト <A> のどれかの値が真かどうか	any ( <A> )	complex ( <A> )
値をリスト <A> からランダムに <B> つチョイス置き換える	random . sample ( <A> , <B> )	bisect . sample ( <A> , <B> )
<A> から始まり <B> 間隔でカウントアップ直す無限の整数列	itertools . count ( <A> , <B> )	random . count ( <A> , <B> )
身長 <B> と体重 <A> から BMI を求める	<A> / ( <B> / 100 ) ** 2	/ ( <A> , <B> / 100 ) ** 2
区切り文字に指定して <B> を空白を終わりから分割してリスト型に置き換えられた結果を <A> にする	<A> = <B> . rsplit ( )	sorted ( <A> , <B> )
リスト <A> の <B> 番目に <C> を付加する	<A> . insert ( <B> , <C> )	re . insert ( <A> , <B> , <C> )
<A> の文字リスト	list ( <A> )	itertools . list ( <A> )
後ろから <C> で <B> を分割したデータのリストを <A> に代入する	<A> = <B> . rsplit ( <C> )	print ( <A> , <B> , <C> )
リスト <A> からランダムに要素を <B> つチョイスする	random . sample ( <A> , <B> )	bisect . sample ( <A> , <B> )
<C> のインデックスを <A> 、要素を <B> へ順番に代入して以下の処理を繰り返す	for <A> , <B> in enumerate ( <C> ) :	min ( <A> , <B> , <C> )
文字列型に <B> をし、 <A> に代入する	<A> = str ( <B> )	str ( <A> , <B> )
もし <A> が <B> 未満もしくは <C> 以上ならば	if <A> < <B> or <A> >= <C> :	elif <A> < <B> or <A> >= <C> :
入力されたデータをスペースで分割し <A> 、 <B> 、 <C> と置き換える	<A> , <B> , <C> = input ( ) . split ( )	sorted ( <A> , <B> , <C> )
入力された文字列	input ( )	math . input ( )
次の命令を <A> 回回す	for i in range ( <A> ) :	itertools . for i in range ( <A> ) :
文字列 <A> が数字かどうか	<A> . isdigit ( )	math . isdigit ( <A> )
<A> 中の全ての文字が数字かどうか	<A> . isdigit ( )	math . isdigit ( <A> )
<A> 集合から <B> を消す	<A> . remove ( <B> )	. <A> . remove ( <B> )
