<name4> の末尾に <name5> を追加	<name4> . append ( <name5> )	<extra_id_0> bodi :
<name5> に空リストを代入	<name5> = [ ]	<extra_id_0> <extra_id_0> <extra_id_0> <extra_id_0> if <extra_id_0> ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( )
<name5> が偽であれば True 、そうでなければ False を返す	return not <name5>	<extra_id_0> )
<name3> を引数とする関数 <name2> の定義	def <name2> ( <name3> ) :	<extra_id_0> )
もし <name1> が <val2> 以下であれば	if <name1> <= <val2> :	<extra_id_0> : :
<name1> を空文字列にする	<name1> = ''	<extra_id_0> )
<name5> に <name4> + <val3> を掛ける	<name5> *= ( <name4> + <val3> )	<extra_id_0> )
<name1> の <name2> % <val3> 番目を返す	return <name1> [ <name2> % <val3> ]	<extra_id_0> )
<name1> に <name2> の <name3> 番目の要素の表す整数を追加	<name1> . append ( int ( <name2> [ <name3> ] ) )	<extra_id_0> <extra_id_0> : : ) )
<name1> に <name2> を足す	<name1> += <name2>	<extra_id_0> ( :
<name1> 割る <name2> の整数部分を返す	return int ( <name1> / <name2> )	<extra_id_0> )
<name1> に <name2> + <val3> を掛ける	<name1> *= ( <name2> + <val3> )	<extra_id_0> :
<name5> から <val4> を引く	<name5> -= <val4>	<extra_id_0> )
<name4> と <name3> を引数とする関数 <name2> の定義	def <name2> ( <name4> , <name3> ) :	<extra_id_0> <extra_id_0> <extra_id_0> (
<name4> が <val1> で割り切れるか、 <val3> で割り切れずに <val2> で割り切れる場合 True 、そうでない場合 False を返す。	return <name4> % <val1> == 0 or ( ( not <name4> % <val3> == 0 ) and <name4> % <val2> == 0 )	<extra_id_0> )
<name2> の <name3> / <val4> 番目の要素の長さを <name1> に足す	<name1> += len ( <name2> [ int ( <name3> / <val4> ) ] )	<extra_id_0> :
<name1> が <val5> ならば True 、そうでなければ False を返す	return <name1> == <val5>	<extra_id_0> :
<name1> に <name2> の文字列表現を代入	<name1> = str ( <name2> )	<extra_id_0> :
<name1> に <name4> を追加	<name1> += <name4>	<extra_id_0> )
<name2> と <name1> を引数とする関数 <name4> の定義	def <name4> ( <name2> , <name1> ) :	<extra_id_0> )
<name4> が <name2> より小さければ True 、そうでなければ False を返す	return <name4> < <name2>	<extra_id_0>
関数 <name3> の定義	def <name3> ( ) :	<extra_id_0> )
<name1> に <name2> と <name3> の差を代入	<name1> = <name2> - <name3>	<extra_id_0> :
現在の <name2> と ( <name6> [ <name5> * <val4> + <name3> ] * <name6> [ ( <name5> + <val1> ) * <val4> + <name3> <val2> ] * <name6> [ ( <name5> + <val6> ) * <val4> + <name3> <val5> ] * <name6> [ ( <name5> + <val4> ) * <val4> + <name3> <val3> ] ) のうち大きい方を新しい <name2> とする	<name2> = max ( <name2> , <name6> [ <name5> * <val4> + <name3> ] * <name6> [ ( <name5> + <val1> ) * <val4> + <name3> <val2> ] * <name6> [ ( <name5> + <val6> ) * <val4> + <name3> <val5> ] * <name6> [ ( <name5> + <val4> ) * <val4> + <name3> <val3> ] )	<extra_id_0> <extra_id_0> <extra_id_0> <extra_id_0> ) ) )
<name1> に <name2> の自乗と <name3> の自乗の和を代入	<name1> = <name2> * <name2> + <name3> * <name3>	<extra_id_0> :
<name1> に <name2> の <name3> 番目の要素を掛ける	<name1> *= <name2> [ <name3> ]	<extra_id_0>
もし <name1> が <val4> 以下であれば	if <name1> <= <val4> :	<extra_id_0> :
<name2> 中の各要素を順に <name1> として	for <name1> in <name2> :	<extra_id_0> )
<name5> が <val4> 未満である間	while <name5> < <val4> :	<extra_id_0> if <extra_id_0> )
<name3> に <val5> から <name2> の総和を代入	<name3> = sum ( range ( <val5> , <name2> + <val5> ) )	<extra_id_0>
<name3> を引数とする関数 <name2> を定義	def <name2> ( <name3> ) :	<extra_id_0> <extra_id_0> ( :
<name4> が <name1> より小さい間	while <name4> < <name1> :	<extra_id_0> ) ) )
<name6> に <val4> を代入	<name6> = <val4>	<extra_id_0>
<name3> に含まれる各要素を <name2> に代入して繰り返し	for <name2> in <name3> :	<extra_id_0> <extra_id_0> <extra_id_0> (
<name4> の <name1> % <val2> 番目の要素の長さを <name6> に足す	<name6> += len ( <name4> [ <name1> % <val2> ] )	<extra_id_0>
<name1> が <val2> であれば True 、そうでなければ False を返す	return <name1> == <val2>	<extra_id_0> :
<name6> に <name5> の文字列表現を格納	<name6> = str ( <name5> )	<extra_id_0> <extra_id_0> = :
<name2> から <name3> までの数を順に <name1> として	for <name1> in range ( <name2> , <name3> + 1 ) :	<extra_id_0> <extra_id_0> in <extra_id_0> :
<name1> + <val2> と <name3> -1 の組を返す	return ( <name1> + <val2> , <name3> - <val2> )	<extra_id_0> ( :
<val4> 未満の非負整数 <name3> を小さい方から順に調べる	for <name3> in range ( <val4> ) :	<extra_id_0> :
<name4> に <name6> の後ろから <name3> 番目の要素を足す	<name4> += <name6> [ len ( <name6> ) - 1 - <name3> ]	<extra_id_0> :
<val2> から <name3> の要素数未満の整数 <name1> について	for <name1> in range ( <val2> , len ( <name3> ) ) :	<extra_id_0> :
<name1> を <name2> が <name3> + <val4> 個繋がったリストとする	<name1> = [ <name2> ] * ( <name3> + <val4> )	<extra_id_0> ( :
<name4> に <val1> を足す	<name4> += <val1>	<extra_id_0> :
<val1> から <name5> の平方根までの数を順に <name2> として	for <name2> in range ( <val1> , int ( <name5> ** 0.5 ) + 1 ) :	<extra_id_0> <extra_id_0> :
<name5> を空リストとする	<name5> = [ ]	<extra_id_0> ( )
<name1> の <name2> + <val3> 番目の要素に <name2> 番目の要素と <name2> + <val3> の積を代入	<name1> [ <name2> + <val3> ] = <name1> [ <name2> ] * ( <name2> + <val3> )	<extra_id_0> :
<name5> の自乗から <name6> までの <name5> 個飛ばしの整数を <name1> として	for <name1> in range ( <name5> + <name5> , <name6> + 1 , <name5> ) :	<extra_id_0> )
<name3> の <name4> 番目の長さ未満の非負整数を小さい方から <name6> として	for <name6> in range ( len ( <name3> [ <name4> ] ) ) :	<extra_id_0> <extra_id_0> <extra_id_0> <extra_id_0> <extra_id_0> <extra_id_0> <extra_id_0> aggiu )
<name1> の末尾に <name5> を追加	<name1> . append ( <name5> )	<extra_id_0> <extra_id_0> <extra_id_0> <extra_id_0> <extra_id_0> <extra_id_0> <extra_id_0> <extra_id_0> <extra_id_0> <extra_id_0> <extra_id_0> <extra_id_0> <extra_id_0> <extra_id_0> <extra_id_0>uhai ( ( ( ( ( ( )
<name1> + <val2> と <name3> + <val2> の組を返す	return ( <name1> + <val2> , <name3> + <val2> )	<extra_id_0> :
<name1> が <val2> ならば True 、そうでなければ False を返す	return <name1> == <val2>	<extra_id_0> <extra_id_0> :
<name6> に <name4> を足す	<name6> += <name4>	<extra_id_0> :
<name5> に <name2> を足す	<name5> += <name2>	<extra_id_0> :
<name6> の末尾要素から <name2> までの数を順に <name4> として	for <name4> in range ( <name6> [ -1 ] , <name2> + 1 ) :	<extra_id_0> in <extra_id_0> ( :
<name4> に <name1> を追加	<name4> += <name1>	<extra_id_0> )
もし <name1> が <name2> で割り切れれば	if <name1> % <name2> == 0 :	<extra_id_0> <extra_id_0> :
