<name4> = <val1>	<name4> に <val1> を代入する
<name5> ** 2	<name5> の二乗
<name1> ** 2	<name1> の二乗
<name6> ** <val4>	<name6> の <val4> 乗を算出する
<name1> ** <val2>	<name1> の <val2> 乗を算出する
<name3> % <name2>	<name3> を <name2> で割った余り
<name1> % <name2>	<name1> を <name2> で割った余り
<name6> % <name3>	<name6> を <name3> で割った余りを計算する
<name1> % <name2>	<name1> を <name2> で割った余りを計算する
<name1> % <name3>	<name1> を <name3> で剰余
<name1> % <name2>	<name1> を <name2> で剰余
<name2> % <name1>	<name2> を <name1> で剰余を計算する
<name1> % <name2>	<name1> を <name2> で剰余を計算する
<name5> % <name2>	<name5> と <name2> の mod
<name1> % <name2>	<name1> と <name2> の mod
<name1> % <name2>	<name1> と <name2> の mod を求める
<name6> % <name1>	<name6> と <name1> の割り算の余り
<name1> % <name2>	<name1> と <name2> の割り算の余り
<name3> % <name6>	<name3> と <name6> の割り算の余りを算出する
<name1> % <name2>	<name1> と <name2> の割り算の余りを算出する
( <name2> + <name4> - 1 ) // <name4>	<name2> を <name4> で割った結果の切り上げ
( <name1> + <name2> - 1 ) // <name2>	<name1> を <name2> で割った結果の切り上げ
( <name3> + <name6> - 1 ) // <name6>	<name3> を <name6> でわった結果の切り上げを求める
( <name1> + <name2> - 1 ) // <name2>	<name1> を <name2> でわった結果の切り上げを求める
( <name2> + <name1> - 1 ) // <name1>	<name2> 割る <name1> を切り上げる
( <name1> + <name2> - 1 ) // <name2>	<name1> 割る <name2> を切り上げる
( <name4> + <name2> - 1 ) // <name2>	<name4> 割る <name2> の切り上げ
( <name1> + <name2> - 1 ) // <name2>	<name1> 割る <name2> の切り上げ
( <name6> + <name2> - 1 ) // <name2>	<name6> 割る <name2> の切り上げを算出する
( <name1> + <name2> - 1 ) // <name2>	<name1> 割る <name2> の切り上げを算出する
( <name1> + <name2> - 1 ) // <name2>	<name1> を <name2> でわった値を切り上げる
<name1> & <name3>	<name1> と <name3> の論理積
<name1> & <name2>	<name1> と <name2> の論理積
<name4> & <name2>	<name4> と <name2> の論理積を算出する
<name1> & <name2>	<name1> と <name2> の論理積を算出する
<name3> | <name6>	<name3> と <name6> の論理和
<name1> | <name2>	<name1> と <name2> の論理和
<name6> | <name2>	<name6> と <name2> の論理和を計算する
<name1> | <name2>	<name1> と <name2> の論理和を計算する
x ^ <name3>	a と <name3> の排他的論理和
x ^ <name1>	a と <name1> の排他的論理和
x ^ <name1>	a と <name1> の排他的論理和を計算する
<name6> << <name5>	<name6> を <name5> だけシフトした左シフト値
<name1> << <name2>	<name1> を <name2> だけシフトした左シフト値
<name1> << <name6>	<name1> を <name6> だけシフトした左シフト値を求める
<name1> << <name2>	<name1> を <name2> だけシフトした左シフト値を求める
<name4> >> <name5>	<name4> を <name5> だけシフトした右シフト値
<name1> >> <name2>	<name1> を <name2> だけシフトした右シフト値
<name5> >> <name2>	<name5> を <name2> だけシフトした右シフト値を算出する
<name1> >> <name2>	<name1> を <name2> だけシフトした右シフト値を算出する
<name6> += <name4>	<name6> を <name4> だけ増加させる
<name1> += <name2>	<name1> を <name2> だけ増加させる
<name2> += <name3>	<name2> に <name3> を足して代入する
<name1> += <name2>	<name1> に <name2> を足して代入する
<name2> += <name5>	<name2> と <name5> の値を足して <name2> に代入する
<name1> += <name2>	<name1> と <name2> の値を足して <name1> に代入する
<name4> += <name5>	<name4> たす <name5> の値を <name4> に代入する
<name1> += <name2>	<name1> たす <name2> の値を <name1> に代入する
<name3> -= <name4>	<name3> を <name4> だけ減少させる
<name1> -= <name2>	<name1> を <name2> だけ減少させる
<name3> -= <name1>	<name3> から <name1> の値を引いて <name3> に代入する
<name1> -= <name2>	<name1> から <name2> の値を引いて <name1> に代入する
<name1> -= <name4>	<name1> ひく <name4> の値を <name1> に代入する
<name1> -= <name2>	<name1> ひく <name2> の値を <name1> に代入する
<name2> *= <name5>	<name2> を <name5> 倍にする
<name1> *= <name2>	<name1> を <name2> 倍にする
<name5> *= <name4>	<name5> に <name4> をかけた値を <name5> に代入する
<name1> *= <name2>	<name1> に <name2> をかけた値を <name1> に代入する
<name6> ** = <name5>	<name6> を <name5> 乗する
<name1> ** = <name2>	<name1> を <name2> 乗する
<name6> /= <name5>	<name6> を <name5> 分の一にする
<name1> /= <name2>	<name1> を <name2> 分の一にする
<name3> // = <name4>	<name3> を <name4> 分の一にする
<name1> // = <name2>	<name1> を <name2> 分の一にする
<name6> % = <name3>	<name6> を <name3> で割った余りを <name6> に代入する
<name1> % = <name2>	<name1> を <name2> で割った余りを <name1> に代入する
abs ( <name5> )	<name5> の絶対値
abs ( <name1> )	<name1> の絶対値
abs ( <name3> )	<name3> の絶対値を計算する
abs ( <name1> )	<name1> の絶対値を計算する
complex ( <name1> )	<name1> の複素数
complex ( <name5> )	<name5> の複素数を計算する
complex ( <name1> )	<name1> の複素数を計算する
complex ( <name5> , <name1> )	<name5> を実部 <name1> を虚部とした複素数
complex ( <name1> , <name2> )	<name1> を実部 <name2> を虚部とした複素数
complex ( <name6> , <name5> )	<name6> を実部 <name5> を虚部とした複素数を求める
complex ( <name1> , <name2> )	<name1> を実部 <name2> を虚部とした複素数を求める
divmod ( <name1> , <name2> )	<name1> を <name2> で割ったときの商と剰余の組
divmod ( <name3> , <name6> )	<name3> を <name6> で割ったときの商とあまりの組を求める
divmod ( <name1> , <name2> )	<name1> を <name2> で割ったときの商とあまりの組を求める
divmod ( <name4> , <name6> )	<name4> と <name6> の商と剰余の組
divmod ( <name1> , <name2> )	<name1> と <name2> の商と剰余の組
divmod ( <name2> , <name4> )	<name2> と <name4> の商と剰余の組を求める
divmod ( <name1> , <name2> )	<name1> と <name2> の商と剰余の組を求める
hash ( <name5> )	<name5> のハッシュ値
hash ( <name1> )	<name1> のハッシュ値
hash ( <name1> )	<name1> のハッシュ値を算出する
pow ( <name6> , <name2> )	<name6> の <name2> 乗
pow ( <name1> , <name2> )	<name1> の <name2> 乗
pow ( <name2> , <name3> )	<name2> の <name3> 乗を求める
pow ( <name1> , <name2> )	<name1> の <name2> 乗を求める
pow ( <name4> , <name2> , <name1> )	<name4> の <name2> 乗に対する <name1> の剰余
pow ( <name1> , <name2> , <name3> )	<name1> の <name2> 乗に対する <name3> の剰余
pow ( <name5> , <name2> , <name6> )	<name5> の <name2> 乗に対する <name6> の剰余を計算する
pow ( <name1> , <name2> , <name3> )	<name1> の <name2> 乗に対する <name3> の剰余を計算する
pow ( <name2> , <name4> , <name1> )	<name2> の <name4> 乗を <name1> で割った余り
pow ( <name1> , <name2> , <name3> )	<name1> の <name2> 乗を <name3> で割った余り
pow ( <name3> , <name5> , <name4> )	<name3> の <name5> 乗を <name4> で割った余りを算出する
pow ( <name1> , <name2> , <name3> )	<name1> の <name2> 乗を <name3> で割った余りを算出する
round ( <name2> )	<name2> の小数点を丸めた値
round ( <name1> )	<name1> の小数点を丸めた値
round ( <name6> )	<name6> の小数点を丸めた値を計算する
round ( <name1> )	<name1> の小数点を丸めた値を計算する
round ( <name1> )	<name1> の整数値
round ( <name3> )	<name3> の整数値を求める
round ( <name1> )	<name1> の整数値を求める
round ( <name1> , 1 )	<name1> を小数点第一位までに丸めた値
round ( <name5> , 1 )	<name5> を小数点第一位までに丸めた値を求める
round ( <name1> , 1 )	<name1> を小数点第一位までに丸めた値を求める
round ( <name1> , -1 )	<name1> を十の位までに丸めた値
round ( <name5> , -1 )	<name5> を十の位までに丸めた値を計算する
round ( <name1> , -1 )	<name1> を十の位までに丸めた値を計算する
max ( <name2> , <name1> , <name4> )	<name2> 、 <name1> 、 <name4> の中で一番大きい値
max ( <name1> , <name2> , <name3> )	<name1> 、 <name2> 、 <name3> の中で一番大きい値
max ( <name4> , <name6> , <name2> )	<name4> 、 <name6> 、 <name2> の中で一番大きい値を算出する
max ( <name1> , <name2> , <name3> )	<name1> 、 <name2> 、 <name3> の中で一番大きい値を算出する
max ( <name6> , <name1> , <name3> )	<name6> 、 <name1> 、 <name3> の最大値
max ( <name1> , <name2> , <name3> )	<name1> 、 <name2> 、 <name3> の最大値
max ( <name2> , <name4> , <name5> )	<name2> 、 <name4> 、 <name5> の最大値を算出する
max ( <name1> , <name2> , <name3> )	<name1> 、 <name2> 、 <name3> の最大値を算出する
min ( <name1> , <name5> , <name6> )	<name1> 、 <name5> 、 <name6> の中で一番小さい値
min ( <name1> , <name2> , <name3> )	<name1> 、 <name2> 、 <name3> の中で一番小さい値
min ( <name2> , <name3> , <name1> )	<name2> 、 <name3> 、 <name1> の中で一番小さい値を算出する
min ( <name1> , <name2> , <name3> )	<name1> 、 <name2> 、 <name3> の中で一番小さい値を算出する
min ( <name3> , <name5> , <name6> )	<name3> 、 <name5> 、 <name6> の最小値
min ( <name1> , <name2> , <name3> )	<name1> 、 <name2> 、 <name3> の最小値
min ( <name2> , <name3> , <name6> )	<name2> 、 <name3> 、 <name6> の最小値を求める
min ( <name1> , <name2> , <name3> )	<name1> 、 <name2> 、 <name3> の最小値を求める
del <name6>	<name6> をデリートする
del <name1>	<name1> をデリートする
global <name1>	<name1> をグローバル変数とする
nonlocal <name2>	<name2> を非ローカル変数とする
nonlocal <name1>	<name1> を非ローカル変数とする
float ( <name2> )	<name2> を浮動小数点数に変換する
float ( <name1> )	<name1> を浮動小数点数に変換する
<name5> = float ( <name3> )	<name3> を浮動小数点数にし、 <name5> とする
<name1> = float ( <name2> )	<name2> を浮動小数点数にし、 <name1> とする
<name5> = float ( <name6> )	<name6> を浮動小数点数にした結果を <name5> にする
<name1> = float ( <name2> )	<name2> を浮動小数点数にした結果を <name1> にする
float ( <name6> )	<name6> を変換した浮動小数点数
float ( <name1> )	<name1> を変換した浮動小数点数
<name3> = float ( <name1> )	<name1> を変換した浮動小数点数を <name3> にする
<name1> = float ( <name2> )	<name2> を変換した浮動小数点数を <name1> にする
float ( <name2> )	<name2> を浮動小数点数型として得る
float ( <name1> )	<name1> を浮動小数点数型として得る
<name6> = float ( <name2> )	<name2> を浮動小数点数型として得、 <name6> に代入する
<name1> = float ( <name2> )	<name2> を浮動小数点数型として得、 <name1> に代入する
<name3> = float ( <name6> )	<name6> を浮動小数点数型として得た結果を <name3> に代入する
<name1> = float ( <name2> )	<name2> を浮動小数点数型として得た結果を <name1> に代入する
int ( <name1> )	<name1> を整数型にする
<name2> = int ( <name3> )	<name3> を整数に変換し、 <name2> にする
<name1> = int ( <name2> )	<name2> を整数に変換し、 <name1> にする
<name5> = int ( <name3> )	<name3> を整数に変換した結果を <name5> に代入する
<name1> = int ( <name2> )	<name2> を整数に変換した結果を <name1> に代入する
int ( <name5> )	<name5> を変換した整数
int ( <name1> )	<name1> を変換した整数
<name6> = int ( <name4> )	<name4> を変換した整数を <name6> に代入する
<name1> = int ( <name2> )	<name2> を変換した整数を <name1> に代入する
int ( <name6> )	<name6> を整数型として得る
int ( <name1> )	<name1> を整数型として得る
<name1> = int ( <name5> )	<name5> を整数型として得、 <name1> とする
<name1> = int ( <name2> )	<name2> を整数型として得、 <name1> とする
<name2> = int ( <name4> )	<name4> を整数型として得た結果を <name2> に代入する
<name1> = int ( <name2> )	<name2> を整数型として得た結果を <name1> に代入する
str ( <name5> )	<name5> を文字列型に変換する
str ( <name1> )	<name1> を文字列型に変換する
<name1> = str ( <name2> )	<name2> を文字列に変換して、 <name1> にする
<name1> = str ( <name2> )	<name2> を文字列に変換した結果を <name1> とする
str ( <name3> )	<name3> を変換した文字列
str ( <name1> )	<name1> を変換した文字列
<name1> = str ( <name3> )	<name3> を変換した文字列を <name1> とする
<name1> = str ( <name2> )	<name2> を変換した文字列を <name1> とする
str ( <name4> )	<name4> を文字列型として取得する
str ( <name1> )	<name1> を文字列型として取得する
<name4> = str ( <name5> )	<name5> を文字列型として取得し、 <name4> に代入する
<name1> = str ( <name2> )	<name2> を文字列型として取得し、 <name1> に代入する
<name2> = str ( <name3> )	<name3> を文字列型として取得した結果を <name2> にする
<name1> = str ( <name2> )	<name2> を文字列型として取得した結果を <name1> にする
list ( <name1> )	<name1> のリスト
<name2> = list ( <name5> )	<name5> のリストを <name2> にする
<name1> = list ( <name2> )	<name2> のリストを <name1> にする
list ( <name6> )	<name6> をリストに変換する
list ( <name1> )	<name1> をリストに変換する
<name4> = list ( <name3> )	<name3> をリスト型に変換して、 <name4> に代入する
<name1> = list ( <name2> )	<name2> をリスト型に変換して、 <name1> に代入する
<name5> = list ( <name2> )	<name2> をリスト型に変換された結果を <name5> とする
<name1> = list ( <name2> )	<name2> をリスト型に変換された結果を <name1> とする
list ( <name2> )	<name2> をリスト型として取得する
list ( <name1> )	<name1> をリスト型として取得する
<name1> = list ( <name4> )	<name4> をリスト型として取得して、 <name1> にする
<name1> = list ( <name2> )	<name2> をリスト型として取得して、 <name1> にする
<name5> = list ( <name1> )	<name1> をリスト型として取得された結果を <name5> にする
<name1> = list ( <name2> )	<name2> をリスト型として取得された結果を <name1> にする
type ( <name6> )	<name6> のタイプ
type ( <name1> )	<name1> のタイプ
type ( <name5> )	<name5> のタイプを抽出する
type ( <name1> )	<name1> のタイプを抽出する
type ( <name4> )	<name4> のタイプを見る
type ( <name1> )	<name1> のタイプを見る
<name1> == <name2>	<name1> と <name2> が等しいかどうか
<name4> != <name5>	<name4> と <name5> が等しくないかどうか
<name1> != <name2>	<name1> と <name2> が等しくないかどうか
if <name2> == <name4> :	もし <name2> と <name4> が等しい場合
if <name1> == <name2> :	もし <name1> と <name2> が等しい場合
if <name5> != <name4> :	もし <name5> と <name4> が等しくないならば
if <name1> != <name2> :	もし <name1> と <name2> が等しくないならば
while <name1> == <name4> :	<name1> と <name4> が等しい間
while <name1> == <name2> :	<name1> と <name2> が等しい間
while <name6> != <name5> :	<name6> と <name5> が等しくない間
while <name1> != <name2> :	<name1> と <name2> が等しくない間
<name2> == <name1>	<name2> が <name1> と等しいかどうか
<name1> == <name2>	<name1> が <name2> と等しいかどうか
<name1> != <name3>	<name1> が <name3> と等しくないかどうか
<name1> != <name2>	<name1> が <name2> と等しくないかどうか
if <name2> == <name6> :	もし <name2> が <name6> と等しいならば
if <name1> == <name2> :	もし <name1> が <name2> と等しいならば
if <name2> != <name5> :	<name2> が <name5> と等しくないなら
if <name1> != <name2> :	<name1> が <name2> と等しくないなら
while <name6> == <name3> :	<name6> が <name3> と等しい間
while <name1> == <name2> :	<name1> が <name2> と等しい間
while <name5> != <name6> :	<name5> が <name6> と等しくない間
while <name1> != <name2> :	<name1> が <name2> と等しくない間
<name2> == <name6>	<name2> が <name6> かどうか
<name1> == <name2>	<name1> が <name2> かどうか
<name6> != <name2>	<name6> が <name2> でないかどうか
<name1> != <name2>	<name1> が <name2> でないかどうか
if <name6> == <name3> :	<name6> が <name3> の場合
if <name1> == <name2> :	<name1> が <name2> の場合
if <name5> != <name4> :	もし <name5> が <name4> でないなら
if <name1> != <name2> :	もし <name1> が <name2> でないなら
while <name6> == <name5> :	<name6> が <name5> の間
while <name1> == <name2> :	<name1> が <name2> の間
while <name5> != <name4> :	<name5> が <name4> でない間
while <name1> != <name2> :	<name1> が <name2> でない間
<name6> > <name1>	<name6> が <name1> より大きいかどうか
<name1> > <name2>	<name1> が <name2> より大きいかどうか
not <name3> > <name1>	<name3> が <name1> より大きくないかどうか
not <name1> > <name2>	<name1> が <name2> より大きくないかどうか
if <name6> > <name1> :	<name6> が <name1> より大きいとき
if <name1> > <name2> :	<name1> が <name2> より大きいとき
if not <name4> > <name6> :	もし <name4> が <name6> より大きくないならば
if not <name1> > <name2> :	もし <name1> が <name2> より大きくないならば
while <name2> > <name1> :	<name2> が <name1> より大きい間
while <name1> > <name2> :	<name1> が <name2> より大きい間
while not <name4> > <name2> :	<name4> が <name2> より大きくない間
while not <name1> > <name2> :	<name1> が <name2> より大きくない間
<name6> > <name1>	<name6> が <name1> よりも大きいかどうか
<name1> > <name2>	<name1> が <name2> よりも大きいかどうか
not <name6> > <name1>	<name6> が <name1> よりも大きくないかどうか
not <name1> > <name2>	<name1> が <name2> よりも大きくないかどうか
if <name3> > <name5> :	もし <name3> が <name5> よりも大きいなら
if <name1> > <name2> :	もし <name1> が <name2> よりも大きいなら
if not <name2> > <name3> :	もし <name2> が <name3> よりも大きくないならば
if not <name1> > <name2> :	もし <name1> が <name2> よりも大きくないならば
while <name6> > <name3> :	<name6> が <name3> よりも大きい間
while <name1> > <name2> :	<name1> が <name2> よりも大きい間
while not <name1> > <name4> :	<name1> が <name4> よりも大きくない間
while not <name1> > <name2> :	<name1> が <name2> よりも大きくない間
<name3> < <name6>	<name3> が <name6> より小さいかどうか
<name1> < <name2>	<name1> が <name2> より小さいかどうか
not <name5> < <name6>	<name5> が <name6> より小さくないかどうか
not <name1> < <name2>	<name1> が <name2> より小さくないかどうか
if <name2> < <name3> :	もし <name2> が <name3> より小さいならば
if <name1> < <name2> :	もし <name1> が <name2> より小さいならば
if not <name3> < <name2> :	もし <name3> が <name2> より小さくないとき
if not <name1> < <name2> :	もし <name1> が <name2> より小さくないとき
while <name5> < <name1> :	<name5> が <name1> より小さい間
while <name1> < <name2> :	<name1> が <name2> より小さい間
while not <name1> < <name3> :	<name1> が <name3> より小さくない間
while not <name1> < <name2> :	<name1> が <name2> より小さくない間
<name6> < <name4>	<name6> が <name4> よりも小さいかどうか
<name1> < <name2>	<name1> が <name2> よりも小さいかどうか
not <name1> < <name3>	<name1> が <name3> よりも小さくないかどうか
not <name1> < <name2>	<name1> が <name2> よりも小さくないかどうか
if <name3> < <name5> :	<name3> が <name5> よりも小さいとき
if <name1> < <name2> :	<name1> が <name2> よりも小さいとき
if not <name6> < <name2> :	<name6> が <name2> よりも小さくない場合
if not <name1> < <name2> :	<name1> が <name2> よりも小さくない場合
while <name6> < <name3> :	<name6> が <name3> よりも小さい間
while <name1> < <name2> :	<name1> が <name2> よりも小さい間
while not <name4> < <name5> :	<name4> が <name5> よりも小さくない間
while not <name1> < <name2> :	<name1> が <name2> よりも小さくない間
<name1> >= <name5>	<name1> が <name5> 以上かどうか
<name1> >= <name2>	<name1> が <name2> 以上かどうか
not <name4> >= <name2>	<name4> が <name2> 以上でないかどうか
not <name1> >= <name2>	<name1> が <name2> 以上でないかどうか
if <name4> >= <name6> :	もし <name4> が <name6> 以上の場合
if <name1> >= <name2> :	もし <name1> が <name2> 以上の場合
if not <name4> >= <name6> :	もし <name4> が <name6> 以上でないならば
if not <name1> >= <name2> :	もし <name1> が <name2> 以上でないならば
while <name1> >= <name4> :	<name1> が <name4> 以上の間
while <name1> >= <name2> :	<name1> が <name2> 以上の間
while not <name1> >= <name6> :	<name1> が <name6> 以上でない間
while not <name1> >= <name2> :	<name1> が <name2> 以上でない間
<name5> <= <name6>	<name5> が <name6> 以下かどうか
<name1> <= <name2>	<name1> が <name2> 以下かどうか
not <name3> <= <name2>	<name3> が <name2> 以下でないかどうか
not <name1> <= <name2>	<name1> が <name2> 以下でないかどうか
if <name6> <= <name4> :	もし <name6> が <name4> 以下ならば
if <name1> <= <name2> :	もし <name1> が <name2> 以下ならば
if not <name3> <= <name1> :	もし <name3> が <name1> 以下でないならば
if not <name1> <= <name2> :	もし <name1> が <name2> 以下でないならば
while <name2> <= <name6> :	<name2> が <name6> 以下の間
while <name1> <= <name2> :	<name1> が <name2> 以下の間
while not <name5> <= <name1> :	<name5> が <name1> 以下でない間
while not <name1> <= <name2> :	<name1> が <name2> 以下でない間
<name6> % 2 == 0	<name6> が偶数かどうか
<name1> % 2 == 0	<name1> が偶数かどうか
<name4> % 2 != 0	<name4> が偶数でないかどうか
<name1> % 2 != 0	<name1> が偶数でないかどうか
if <name3> % 2 == 0 :	もし <name3> が偶数の場合
if <name1> % 2 == 0 :	もし <name1> が偶数の場合
if <name6> % 2 != 0 :	<name6> が偶数でないなら
if <name1> % 2 != 0 :	<name1> が偶数でないなら
<name2> % <val1> == <val5>	<name2> が <val1> で割った時の余りが <val5> であるかどうか
<name1> % <val2> == <val3>	<name1> が <val2> で割った時の余りが <val3> であるかどうか
<name3> % <val4> != <val2>	<name3> が <val4> で割った時の余りが <val2> であるでないかどうか
<name1> % <val2> != <val3>	<name1> が <val2> で割った時の余りが <val3> であるでないかどうか
if <name4> % <val3> == <val1> :	<name4> が <val3> で割った時の余りが <val1> であるならば
if <name1> % <val2> == <val3> :	<name1> が <val2> で割った時の余りが <val3> であるならば
if <name1> % <val6> != <val4> :	もし <name1> が <val6> で割った時の余りが <val4> であるでない場合
if <name1> % <val2> != <val3> :	もし <name1> が <val2> で割った時の余りが <val3> であるでない場合
<name4> % 2 == 1	<name4> が奇数かどうか
<name1> % 2 == 1	<name1> が奇数かどうか
<name1> % 2 != 1	<name1> が奇数でないかどうか
if <name5> % 2 == 1 :	もし <name5> が奇数の場合
if <name1> % 2 == 1 :	もし <name1> が奇数の場合
if <name5> % 2 != 1 :	もし <name5> が奇数でないならば
if <name1> % 2 != 1 :	もし <name1> が奇数でないならば
<name4> % <val3> == <val6>	<name4> が <val3> で割った時の余りが <val6> かどうか
<name1> % <val2> == <val3>	<name1> が <val2> で割った時の余りが <val3> かどうか
<name5> % <val3> != <val2>	<name5> が <val3> で割った時の余りが <val2> でないかどうか
<name1> % <val2> != <val3>	<name1> が <val2> で割った時の余りが <val3> でないかどうか
if <name2> % <val3> == <val5> :	もし <name2> が <val3> で割った時の余りが <val5> ならば
if <name1> % <val2> == <val3> :	もし <name1> が <val2> で割った時の余りが <val3> ならば
if <name2> % <val4> != <val5> :	もし <name2> が <val4> で割った時の余りが <val5> でないならば
if <name1> % <val2> != <val3> :	もし <name1> が <val2> で割った時の余りが <val3> でないならば
<name2> % <name1> == 0	<name2> が <name1> の倍数かどうか
<name1> % <name2> == 0	<name1> が <name2> の倍数かどうか
<name5> % <name4> != 0	<name5> が <name4> の倍数でないかどうか
<name1> % <name2> != 0	<name1> が <name2> の倍数でないかどうか
if <name4> % <name2> == 0 :	もし <name4> が <name2> の倍数ならば
if <name1> % <name2> == 0 :	もし <name1> が <name2> の倍数ならば
if <name5> % <name2> != 0 :	<name5> が <name2> の倍数でないとき
if <name1> % <name2> != 0 :	<name1> が <name2> の倍数でないとき
<name6> % <name3> == 0	<name6> が <name3> で割り切れるかどうか
<name1> % <name2> == 0	<name1> が <name2> で割り切れるかどうか
<name1> % <name6> != 0	<name1> が <name6> で割り切れるでないかどうか
<name1> % <name2> != 0	<name1> が <name2> で割り切れるでないかどうか
if <name2> % <name1> == 0 :	もし <name2> が <name1> で割り切れるならば
if <name1> % <name2> == 0 :	もし <name1> が <name2> で割り切れるならば
if <name4> % <name1> != 0 :	もし <name4> が <name1> で割り切れるでないとき
if <name1> % <name2> != 0 :	もし <name1> が <name2> で割り切れるでないとき
<name1> and <name4>	<name1> かつ <name4>
<name1> and <name2>	<name1> かつ <name2>
not <name4> and <name5>	<name4> かつ <name5> でない
not <name1> and <name2>	<name1> かつ <name2> でない
if <name6> and <name3> :	もし <name6> かつ <name3> のとき
if <name1> and <name2> :	もし <name1> かつ <name2> のとき
if not <name1> and <name4> :	もし <name1> かつ <name4> でないなら
if not <name1> and <name2> :	もし <name1> かつ <name2> でないなら
<name4> or <name5>	<name4> または <name5>
<name1> or <name2>	<name1> または <name2>
not <name2> or <name5>	<name2> または <name5> でない
not <name1> or <name2>	<name1> または <name2> でない
if <name6> or <name4> :	もし <name6> または <name4> のとき
if <name1> or <name2> :	もし <name1> または <name2> のとき
if not <name2> or <name6> :	もし <name2> または <name6> でない場合
if not <name1> or <name2> :	もし <name1> または <name2> でない場合
not <name5>	<name5> ではない
not <name1>	<name1> ではない
not not <name2>	<name2> ではなくない
not not <name1>	<name1> ではなくない
if not <name3> :	もし <name3> ではないとき
if not <name1> :	もし <name1> ではないとき
if not not <name3> :	もし <name3> ではなくないとき
if not not <name1> :	もし <name1> ではなくないとき
True	真
False	偽
None	未定値
print ( )	改行を表示する
print ( )	空行を出力する
print ( <name3> )	<name3> を表示する
print ( <name1> )	<name1> を表示する
print ( <name5> , end = '' )	改行なしで <name5> をプリントする
print ( <name1> , end = '' )	改行なしで <name1> をプリントする
print ( <name2> , end = '' )	<name2> の出力を改行しないで行う
print ( <name1> , end = '' )	<name1> の出力を改行しないで行う
print ( <name5> , sep = '' )	区切りなしで <name5> をプリントする
print ( <name1> , sep = '' )	区切りなしで <name1> をプリントする
print ( <name5> , sep = '' )	<name5> の出力を区切らないで行う
